,url_length,hostname_length,num_dots,num_hyphens,has_https,num_subdirs,num_digits,num_params,num_fragments,num_uppercase,has_ip,has_port,is_encoded,starts_with_www,ends_with_suspicious_tld,suspicious_words,domain_age_days,dns_record_exists,has_ssl_certificate,is_alexa_top,label
url_length,1.0,0.3946403158062597,0.29157174801249375,0.4147110560142583,0.03172391658450738,0.4275971313199893,0.5742208319629818,0.6033975022228836,0.02005844720850091,0.5303140457355665,-0.21455050446689766,,0.27762466522191104,0.3212231059004612,-0.048034933202251696,0.24007709651815554,,,-0.02976515893588924,-0.050629276994628436,-0.016224426309958406
hostname_length,0.3946403158062597,1.0,0.36730422894917225,0.08472619196903583,0.2170593350176169,0.46027537293494325,0.18891933809920716,0.3034803466735344,0.002139495208551986,0.10221165764233174,0.12570294420369443,,0.01561865485052583,0.500869366470725,-0.02833163181333242,0.08620685932674434,,,-0.24917277659336473,-0.2742671186244884,-0.5056628290835888
num_dots,0.29157174801249375,0.36730422894917225,1.0,-0.08168860886307298,-0.054589703174992565,0.22756617183566763,0.30079796747898335,0.15209440644631766,0.02612599543404451,0.054692992113642785,0.34082977536091913,,-0.022448847245164293,0.21894144031738225,-0.0478914271820431,0.2783645007927643,,,-0.20369800123205464,-0.18100608776292407,-0.26985402842559575
num_hyphens,0.4147110560142583,0.08472619196903583,-0.08168860886307298,1.0,-0.05212390199400155,0.22496481794967874,0.09697642164547347,0.05439937218884984,0.0035056072248665034,0.033664674225903995,-0.1649720173111233,,0.0228916536190345,0.10552070690691463,-0.01855007489493589,0.03238274669094733,,,0.03638723603248838,0.055515142517790966,0.18614234497262921
has_https,0.03172391658450738,0.2170593350176169,-0.054589703174992565,-0.05212390199400155,1.0,0.17295314685271065,0.10787241918007914,-0.07363533306356232,0.024523750996717858,0.07886536238286497,-0.11754703102415144,,0.018636053688955077,-0.13208219438028546,0.0015323370303271613,-0.0008216508380363752,,,0.07413745695466535,0.24596211004453286,-0.174230653576597
num_subdirs,0.4275971313199893,0.46027537293494325,0.22756617183566763,0.22496481794967874,0.17295314685271065,1.0,0.24952863690108545,0.04897491743355651,0.014265764989739955,0.09558439866738645,0.037214279246329265,,0.07181865091543302,0.24422874377960965,-0.07440417175117858,0.1848503279143154,,,-0.057262749237844905,-0.03068875971744328,-0.1576003050167634
num_digits,0.5742208319629818,0.18891933809920716,0.30079796747898335,0.09697642164547347,0.10787241918007914,0.24952863690108545,1.0,0.14042503761394798,0.013804972948010424,0.3876355335854022,0.24734175765366206,,0.29043281365386264,-0.056314185795404786,-0.026421726169657128,0.1853825859151334,,,-0.0721297015780351,-0.013751356168487144,-0.02875158673033535
num_params,0.6033975022228836,0.3034803466735344,0.15209440644631766,0.05439937218884984,-0.07363533306356232,0.04897491743355651,0.14042503761394798,1.0,-0.0037695432116384062,0.13554355035665033,-0.15922673966380574,,0.06091944984955787,0.39098091566480603,-0.03418961522508216,0.0371929343050959,,,-0.0647550932940036,-0.15376255966756966,-0.14168000788567028
num_fragments,0.02005844720850091,0.002139495208551986,0.02612599543404451,0.0035056072248665034,0.024523750996717858,0.014265764989739955,0.013804972948010424,-0.0037695432116384062,1.0,0.004961031973217129,-0.012561977403300357,,0.02241754252247622,-0.011196461963027331,0.0003369151595855411,0.013261591725948233,,,0.014883347407646423,0.003978894976723368,-0.014538963404215175
num_uppercase,0.5303140457355665,0.10221165764233174,0.054692992113642785,0.033664674225903995,0.07886536238286497,0.09558439866738645,0.3876355335854022,0.13554355035665033,0.004961031973217129,1.0,-0.02679853660186731,,0.36517797704162636,0.003743249664413479,-0.009313387462958836,0.08775986760897178,,,0.010895960027182301,0.046043208098680226,0.020497690752933083
